site	class	severity	verdict	measurement	bound	fix_id
public.pipeline_state.updated_at (whole-column finding)	CLASS 5 — LYING TIMESTAMPS	orange	REFUTED	Census reproduced (0 readers, all writes). Prod pg_proc: 18 functions name both pipeline_state and updated_at; all 18 occurrences are `ON CONFLICT ... SET ... updated_at = now()` assignments. No corrected number — the number is not in dispute, its interpretation is.	0 automated readers against 27 COMMIT-bearing procedures whose cursors write it. The cost of having a human as the only reader is already measured: FIX-972 = one full diagnostic pass. This is D4's coverage gap restated — the canary watched 1 of 21 cron jobs; the stall-detector count on procedure cur	
11 columns across 11 tables (see evidence) — public.official_donor_totals.updated_at, official_small_dollar_rollup.updated_at, official_sector_affinit	CLASS 5 — LYING TIMESTAMPS	orange	REFUTED	Measured. Of the 14 progress-semantics columns in the 20-column catalog population, 11 have zero readers. Split of objects naming the TABLE vs naming table AND COLUMN: official_donor_totals 10 vs 2 (both writers: donor_rollup_rebuild_bulk, official_donor_totals_backfill); official_sector_affinity_rollup 3 vs 2 (writers); official_small_dollar_rollup 3 vs 2 (writers); official_vote_stats 3 vs 1 (wr	11 columns covering 6,793 officials (official_donor_totals, official_small_dollar_rollup), 26,801 sector-affinity rows, 558 official_vote_stats, 500 contract_recipient_rollup, 1,477 contract_agency_sector_rollup, 128 agency_staffing_rollup, 579 group_donor_rollup_summary, 601 page-cache rows — every	
8 watermark read sites over financial_relationships.updated_at / votes.updated_at, fed by trigger financial_relationships_updated_at -> public.set_upd	CLASS 5 — LYING TIMESTAMPS	orange	CONFIRMED	Blast radius is NOT 'every overlapping transaction'. Skip requires v_new_max > T.updated_at AND T committing after the dirty-set build — i.e. out-of-order commits among FR writers, or a long single FR write transaction spanning the MAX read. The serial bulkUpsert path (withDirectClient, one chunk per txn) yields an empty window on its own; the realizable triggers are usaspending-bulk (manual dispa	Rows silently and permanently lost = every FR row written by any transaction whose lifetime overlaps a watermark read, across 8 reader sites. Watermarks only advance (`fr.updated_at > v_watermark`), so a skipped row is never revisited until a full rebuild. Concurrency is realizable today: FR is writ	FIX-983
public.donor_rollup_rebuild_bulk:286 and :303 (vs :363, :419, :425 in the same body)	CLASS 5 — LYING TIMESTAMPS	yellow	REFUTED	Prod run donor_rollup_bulk id=4b0e6d00-7162-4354-aed4-0e5fdefdebd4, 2026-08-07 02:14:11.483592 -> 02:29:37.390179 UTC, status=complete, span 926 s, chunks 32/32, slowest_chunk_seconds=59, targets=15316. THREE arms (not two) carry a transaction-time stamp from this procedure: official_small_dollar_rollup (prosrc 286, explicit now()), official_sector_affinity_rollup (prosrc 303, explicit now()), and	Today the two arms' `updated_at` trail the same chunk's `pipeline_state.updated_at` by up to 59 s. The defect is the inconsistency, not the 59 s: an operator comparing `official_small_dollar_rollup.updated_at` against `pipeline_state.updated_at` for the same CALL sees a false ordering (arm appears r	
supabase/migrations/20260701000000_fix703_pgcron_donations_per_window_commit.sql:177 (+16 sibling ALTER FUNCTION sites; live via pg_proc.proconfig)	CLASS-3-stale-guard-quanta-and-tuned-constants	red	REFUTED	Prod pg_proc confirms the guards exist (rebuild_ec_donations_full_window 45min, rebuild_entity_connections 60min, _appointments 15min, _contracts 30min, _cosponsors 10min, _donations 45min, _donations_full 90min, _external 15min, _gifts 10min, _holds 10min, _investigation 5min, _lobbying 10min, _oversight 5min, _votes 15min, _votes_full 15min, rebuild_entity_search_index 1200s). Count of those wit	Today: the guard sum for run_entity_connections_rebuild in full mode is 16x45min (donation windows) + 125min (10 chunk fns) = 845 min = 14.08 h against a 6 h ceiling — 2.35x, i.e. the inner guards are arithmetically incapable of keeping the CALL inside its budget. In incremental mode the sum is 170 	
supabase/migrations/20260710000000_fix717_718_incremental_stats_rollup_tables.sql:477 (c_bounds[16]) / :555 (FOR i IN 1..16) — live proc public.rebuil	CLASS-3-stale-guard-quanta-and-tuned-constants	orange	CONFIRMED	Peak 18,568.4 s = 85.96% of the 21,600 s ceiling stands. Correct the growth pairing: 74 s / 2,312,598 rows (07-11) → 14,932.7 s / 2,414,436 rows (08-03) is ×202 for +4.40% rows, not ×251 (the claim pairs 08-03's row count with 07-27's runtime). The sharper number is 101 s vs 14,932 s at 2,414,351 vs 2,414,436 rows — 148× on 0.004% more work. Stage input re-derived on prod: 5,059,971 EC rows / 373,	Rows written moved 2,312,598 (2026-07-11) -> 2,414,436 (2026-08-03), +4.4%, while runtime moved 74 s -> 18,568 s, x251 — so the constant is stale against access-pattern/cache cost, not row count (playbook B2/E4). The stage is one statement: `SELECT from_id ... UNION ALL SELECT to_id ... FROM entity_	FIX-982
supabase/migrations/20260719020000_fix838_contract_flow_rollups.sql:343 (proc) / :381 (LIMIT 500) — live proc public.refresh_contract_flow_rollups	CLASS-3-stale-guard-quanta-and-tuned-constants	yellow	REFUTED	Uncontended runtime 986.2 s = 4.6% of the 6 h ceiling (2026-07-23, sole cron occupant). The 7,125.6 s sample (2026-07-30) overlapped jobid 24's 21,600.5 s statement_timeout blowout for its first ~3,600 s. Driving rows ~3.31M contract FRs (0.322333 x 10,267,543), not 10,273,090. Output caps confirmed saturated: contract_recipient_rollup reltuples 500, contract_agency_sector_rollup 1,477.	7,126/21,600 = 33.0% of the 6 h ceiling today; one more step of the observed 7.2x is 51,500 s, i.e. a hard kill. The LIMIT 500 output cap is doing its E8 job (stored width fixed by what the surface renders), but the scan behind it is not bounded by it: a full GROUP BY over every `relationship_type='	
packages/data/src/pipelines/tags/rules.ts:675 (const PAGE_SIZE = 500) and packages/db/src/read-helpers.ts:69 (pageSize ?? 1000)	CLASS-3-stale-guard-quanta-and-tuned-constants	orange	CONFIRMED	"three measured production statement-timeout failures on deep pages" is 1 of the 3 cited. Prod data_sync_log holds four such rows, and only two are OFFSET-depth: tag_rules 2026-08-05 (proposals page 28500-28999) and tag_rules 2026-05-31 (financial_entities page 2500-2999). The other two cited — tag_ai 2026-07-06 "ai-classifier industry-tagged FE preload (rows 0-999)" and congress_officials 2026-08	Cost of one full paginated walk = R^2/(2P) rows produced-then-discarded. proposals R=87,403, P=500 -> 7,640,000 heap-tuple fetches against 87,403 for a keyset walk = 87.4x, and that ratio is R/(2P), i.e. it grows LINEARLY with the table forever. Since the constant was set (2026-05-29, commit 4462320	FIX-984
supabase/migrations/20260711140000_fix693_find_entity_path.sql:38 and supabase/migrations/20260711150000_fix693_bidirectional_pathfinder.sql:30 (v_cap	CLASS-3-stale-guard-quanta-and-tuned-constants	yellow	REFUTED	Binding ceiling is withDbTimeout's 5,000 ms client race (service_role/8 s server-side), not anon 3 s. EC top in-degree ≈ 302,753 edges and top out-degree ≈ 28,503 (pg_stats MCV x 5,059,971), so one hub expansion inserts ~6x the 50,000 cap. find_entity_path: 0 calls in pgss over 2026-07-17 -> 2026-08-07.	Reaching v_cap=50,000 within the 8 s authenticated budget requires <=0.16 ms per visited node; each BFS expansion is an index descent plus heap access on entity_connections (5,059,971 rows, 6,464 MB total / 373,641 heap pages) against 256 MB shared_buffers — roughly 25x the cache — so the cap is unr	
supabase/migrations/20260715020000_fix778_materialize_agency_staffing_rollup.sql:134, 20260715000000_fix776_...:273, 20260715010000_fix777_...:293, 20	CLASS-3-stale-guard-quanta-and-tuned-constants	yellow	REFUTED	Work-lists are official_donor_totals-sourced, not officials: 6,781 rows (5,575 with individual_cents>0) -> 14-19 chunks, not 75-124; agencies=129 -> 3 chunks. 4 of 6 sites are unscheduled one-shots (2 run exactly once on 2026-07-16; official_donor_brackets_backfill has never run on prod; sector-affinity backfill last run 2026-08-02); 0 of the 6 appear in cron.job.	Today these are survivable because their populations are small relative to their quanta: agencies=127 (3 chunks; measured 196–1,183 s), officials=37,017 (75 chunks at 500, 124 at 300; the sector-affinity full-backfill branch measured 560 s on 2026-08-02). The exposure is structural: with no cursor, 	
public.financial_entities (+ donor_party_rollup_mv, external_relationships_review_queue) — no VACUUM owner on any script, cron job or procedure	CLASS-2-heap-forced-reads	red	CONFIRMED	relallvisible 145,898 -> 112,162 in ~13 min with relpages static 208,903; 53.7% all-visible; vacuum_count=0; Index Only Scan on financial_entities_nonindividual_id = 226,640 rows / Heap Fetches 108,419 (47.8%) / 256,621 buffers / 47,042.959 ms, vs 4.8% on the FIX-974-tuned FR path	Today: 47.8% heap-fetch tax on the most-scanned index on the instance (financial_entities_pkey, 84,990,056 scans). Post-PR3: FE grows one row per donor, so the tax scales linearly with the donor population and the autovacuum trigger grows with the table.	FIX-975
packages/data/src/pipelines/tags/rules.ts:1402 + packages/data/src/pipelines/littlesis/matcher.ts:143 — FE walks sized by stale comments	CLASS-3-stale-guard-quanta	orange	CONFIRMED	rules.ts comment says ~78k non-individual FE rows, actual 226,640 (2.9x); matcher.ts comment says ~2.45M rows / ~30k orgs, actual 3,630,602 / 226,640 (7.6x on orgs). pgss: 19 calls x 32,153 ms = 611 s, and 89 calls x 33,676 ms = 2,997 s	Today: ~50 min of every LittleSis run building the match index; the rules.ts load is unbounded in Node memory. Post-PR3: both are sized against numbers that already drifted 2.9x and 7.6x.	FIX-976
